globalid,ingestion_time,icao_address,timestamp,latitude,longitude,altitude_baro,heading,speed,vertical_rate,squawk,on_ground,callsign,tail_number,collection_type,flight_number,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_airport_icao,departure_airport_iata,departure_scheduled_time,takeoff_time,arrival_utc_offset,arrival_airport_icao,arrival_airport_iata,arrival_scheduled_time,arrival_estimated_time
{18B02DE8-9B88-4C57-B74F-E543C3C8F06F},2023-02-01T17:06:54.905Z,A45F94,2/1/2023 5:06:50 PM,37.040314,-122.18661,9425,149.0215,288.1,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{B76D44C7-B32E-459B-9B54-E1C6AFAB106B},2023-02-01T17:06:54.658Z,AD7E17,2/1/2023 5:06:51 PM,37.523987,-122.452912,6725,178.34348,160,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{F35AB715-3BFC-492C-84F0-16178874E6FC},2023-02-01T17:06:56.269Z,AD7E17,2/1/2023 5:06:52 PM,37.522826,-122.452897,6725,179.40358,166,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{F12463BD-F449-4694-9C10-00C7C1724C41},2023-02-01T17:06:58.777Z,A45F94,2/1/2023 5:06:54 PM,37.034821,-122.182403,9300,148.55672,290,-1470,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{3346874D-7609-4B91-9916-72E77EC58C26},2023-02-01T17:06:58.522Z,AD7E17,2/1/2023 5:06:55 PM,37.520599,-122.452854,6725,179.11887,166,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{D1F74D71-EE2A-47AF-A1B9-A18C4110E048},2023-02-01T17:07:03.326Z,A1502C,2/1/2023 5:06:59 PM,36.624664,-121.977711,6400,289.35077,250.2,0,3367,0,N184GP,N184GP,terrestrial,,C650,Cessna 650 Citation VI,,,-800,KMRY,MRY,,2023-02-01T17:05:10Z,-800,KSNA,SNA,,
{D746FC27-BAA8-45A1-992A-47CA1C9413B0},2023-02-01T17:07:05.507Z,AD7E17,2/1/2023 5:07:01 PM,37.515793,-122.452737,6725,178.89548,166,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{8BE50105-6962-4018-B6D1-DB1AAEAE7BE1},2023-02-01T17:07:05.519Z,A1502C,2/1/2023 5:07:01 PM,36.625718,-121.981376,6575,289.67706,251.1,0,3367,0,N184GP,N184GP,terrestrial,,C650,Cessna 650 Citation VI,,,-800,KMRY,MRY,,2023-02-01T17:05:10Z,-800,KSNA,SNA,,
{618B5F09-7102-4D16-BD4E-30F4BADAF046},2023-02-01T17:07:07.872Z,A1502C,2/1/2023 5:07:03 PM,36.626129,-121.982918,6650,288.38113,250,0,3367,0,N184GP,N184GP,terrestrial,,C650,Cessna 650 Citation VI,,,-800,KMRY,MRY,,2023-02-01T17:05:10Z,-800,KSNA,SNA,,
{A4B2B9CC-8E34-4403-A11C-5FF2E7BECF39},2023-02-01T17:07:08.668Z,A45F94,2/1/2023 5:07:05 PM,37.021957,-122.172585,9025,148.64272,290.9,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{CC4113BD-ADA7-4319-9052-B013E8F435FD},2023-02-01T17:07:15.016Z,A0D30C,2/1/2023 5:07:11 PM,36.60314,-121.876247,2400,328.6,201.5,0,1705,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KMRY,MRY,,,-800,KSBA,SBA,,
{C49C5238-A9C6-44C4-860A-1ABBB5AB3F6A},2023-02-01T17:07:17.501Z,A0D30C,2/1/2023 5:07:12 PM,36.604385,-121.877117,2525,330.7089,202.3,0,1705,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KMRY,MRY,,,-800,KSBA,SBA,,
{EB60A4E7-0AF7-4323-8691-2262629035A5},2023-02-01T17:07:17.317Z,AD7E17,2/1/2023 5:07:14 PM,37.507697,-122.452598,6725,180,166,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{A0E0619B-0099-44D3-A9F8-563BE65A8C62},2023-02-01T17:07:19.872Z,A1502C,2/1/2023 5:07:14 PM,36.629163,-121.999142,7350,283.1208,255.9,0,3367,0,N184GP,N184GP,terrestrial,,C650,Cessna 650 Citation VI,,,-800,KMRY,MRY,,2023-02-01T17:05:10Z,-800,KSNA,SNA,,
{23852FA1-837D-488E-82E2-376754048E87},2023-02-01T17:07:19.991Z,A45F94,2/1/2023 5:07:14 PM,37.011822,-122.164864,8800,148.68576,289.5,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{5C45FA20-AF47-45B7-ABD2-1E7B0AF7F4FC},2023-02-01T17:07:19.804Z,A0D30C,2/1/2023 5:07:15 PM,36.606949,-121.878605,2750,335.95453,204.1,0,1705,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KMRY,MRY,,,-800,KSBA,SBA,,
{99B60A0B-6BD4-4A4C-97B6-70BABE76FEE3},2023-02-01T17:07:19.866Z,AD7E17,2/1/2023 5:07:15 PM,37.50509,-122.452539,6725,178.95963,166,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
