locationNumber,companyName,street,city,state,stateName,zip,zip4,NAICS,SIC,salesVolume,headBranch,employeeNumber,sqftCode,SCORE,LON,LAT,waitTime,sequence,timestamp
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,4,10,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,9,10,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,3,10,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,4,10,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,6,10,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,4,10,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,3,10,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,12,10,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,6,10,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,11,10,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,9,10,
